trade_id,netting_set,asset_class,hedging_set,position,style,opt_type,notional,start_s,maturity_m,underlying_price,strike,vol,mtm,sub_category
IRS-USD-5Y,NS-A,IR,USD,Long,Linear,NA,50000000,0,5,,,,350000,NA
IRS-USD-2Y,NS-A,IR,USD,Short,Linear,NA,30000000,0,2,,,,-120000,NA
IRS-EUR-7Y,NS-A,IR,EUR,Long,Linear,NA,20000000,0,7,,,,210000,NA
FXFWD-EURUSD-1Y,NS-A,FX,EURUSD,Long,Linear,NA,15000000,0,1,,,,45000,NA
FXFWD-GBPUSD-6M,NS-A,FX,GBPUSD,Short,Linear,NA,10000000,0,0.5,,,,-30000,NA
FXOPT-USDJPY-9M,NS-A,FX,USDJPY,Long,Option,Call,8000000,0,0.75,150,152,0.1,60000,NA
CDS-SN-BBB-3Y,NS-A,Credit,Corp_XYZ,Long,Linear,NA,12000000,0,3,,,,-25000,BBB
CDS-IDX-IG-5Y,NS-A,Credit,CDX_IG,Short,Linear,NA,25000000,0,5,,,,40000,IG_Index
EQSWAP-SN-XYZ-2Y,NS-A,Equity,Equity_XYZ,Long,Linear,NA,6000000,0,2,,,,15000,SingleName
EQOPT-IDX-SPX-1Y,NS-A,Equity,Equity_SPX,Long,Option,Put,10000000,0,1,5000,4800,0.18,-80000,Index
COMDTY-OIL-1Y,NS-A,Commodity,Oil_Gas,Long,Linear,NA,5000000,0,1,,,,20000,Oil_Gas
COMDTY-GOLD-2Y,NS-A,Commodity,Metal,Short,Linear,NA,4000000,0,2,,,,-10000,Metal
IRS-USD-10Y,NS-B,IR,USD,Long,Linear,NA,40000000,0,10,,,,500000,NA
IRS-USD-3Y,NS-B,IR,USD,Short,Linear,NA,25000000,0,3,,,,-90000,NA
FXFWD-EURUSD-2Y,NS-B,FX,EURUSD,Long,Linear,NA,18000000,0,2,,,,55000,NA
FXFWD-USDJPY-1Y,NS-B,FX,USDJPY,Short,Linear,NA,12000000,0,1,,,,-40000,NA
CDS-IDX-SUBIG-4Y,NS-B,Credit,CDX_HY,Long,Linear,NA,15000000,0,4,,,,-35000,SubIG_Index
EQSWAP-IDX-SPX-3Y,NS-B,Equity,Equity_SPX,Long,Linear,NA,20000000,0,3,,,,80000,Index
